RPPS,Input1,Output1,Output2,Output3,Ano
ALTO PARAISO DE GOIAS_GO,226370.72,120,20729909.02,3486476.57,2022
AMAPORA_PR,101039.22,75,22350131.959999997,15510864.34,2022
ANDIRA_PR,645797.39,402,24359343.99,51443039.01000001,2022
AQUIDAUANA_MS,680292.42,386,28124091.509999998,50434957.63,2022
ARMACAO DOS BUZIOS_RJ,1144349.09,149,27497502.59,141697681.75,2022
ASSIS_SP,1214667.68,98,20865635.47,269086852.43,2022
ATALAIA_AL,651536.08,703,21809689.4,1956170.08,2022
BARRO ALTO_GO,469365.6,207,21927606.97,15643235.56,2022
BEBERIBE_CE,1072402.02,364,27547193.15,61880252.15,2022
BOA VISTA_RR,2782697.92,677,71104799.71000001,883510900.85,2022
BOM DESPACHO_MG,530476.47,527,22873319.7,34151383.16,2022
CAAPORA_PB,832242.78,454,20516200.229999997,7061.12,2022
CAARAPO_MS,536504.03,168,24314343.82,45594792.32,2022
CACADOR_SC,1527481.92,524,22432680.2,146905661.78,2022
CACHOEIRINHA_PE,266289.56,142,22458474.06,25250504.47,2022
CAMACARI_BA,5467770.58,2189,49198176.629999995,372930238.86,2022
CANTAGALO_RJ,787641.51,726,21220643.169999998,19731861.22,2022
CARDOSO MOREIRA_RJ,252884.94,262,31052947.63,104405058.78,2022
CARIRIACU_CE,704234.8,152,24052095.83,26347192.91,2022
CERES_GO,379739.48,225,21507428.93,14828469.26,2022
CERQUEIRA CESAR_SP,559943.3,251,24271789.979999997,55168625.02,2022
CHOPINZINHO_PR,19729.96,93,25049550.65,28531635.56,2022
CONCEICAO DE MACABU_RJ,587699.74,468,26631563.93,61093333.86000001,2022
CRATO_CE,884786.33,662,29765797.43,82720370.35000001,2022
CRUZEIRO DO OESTE_PR,71047.09,318,22054161.459999997,12654265.3,2022
CURITIBANOS_SC,328847.11,482,23462169.299999997,52760758.74,2022
DEMERVAL LOBAO_PI,147044.89,38,21511851.479999997,8242637.78,2022
DOMINGOS MARTINS_ES,437508.06,246,29450590.479999997,76511686.05000001,2022
DUAS BARRAS_RJ,381323.44,256,22660815.279999997,45222943.35,2022
ENTRE-IJUIS_RS,230896.77,175,24261418.709999997,41382646.77,2022
ESCADA_PE,658051.53,825,20810319.889999997,3804440.35,2022
ESPERA FELIZ_MG,441737.08,233,21991459.439999998,16078181.94,2022
ESPERANTINA_PI,775977.06,240,22774917.15,25282332.83,2022
ESPIGAO DO OESTE_RO,880775.42,116,24696964.229999997,77312340.03,2022
EUSEBIO_CE,1990029.84,282,37311760.09,174409558.53,2022
FERNANDOPOLIS_SP,1817447.98,607,25925852.22,130525116.11,2022
FLORIANOPOLIS_SC,4374066.43,3903,20831522.47,9977202.9,2022
FORMOSA_GO,776589.77,51,21453874.81,9667511.07,2022
FOZ DO IGUACU_PR,3831649.8,2837,47402650.55,448702238.03,2022
GOIANIRA_GO,500896.47,233,25946675.52,55380652.01000001,2022
GOIAS_GO,51995195.48,61088,46572844.32,214722532.3,2022
GONCALVES_MG,147078.04,33,20791678.02,3879407.25,2022
HOLAMBRA_SP,552911.55,105,28227035.759999998,81099236.23,2022
IGUATAMA_MG,152198.77,151,20632137.36,786123.73,2022
IRAUCUBA_CE,570123.25,83,25042499.59,45094589.02,2022
ITACURUBA_PE,166877.94,53,21917438.619999997,18207967.89,2022
ITAPIPOCA_CE,1329128.59,704,27167497.2,137226562.67,2022
IVOTI_RS,34282.39,131,28769512.65,96706923.6,2022
JALES_SP,857421.75,622,21431062.939999998,49399162.99,2022
JANUARIA_MG,621619.48,292,26097048.81,52502778.98,2022
JAPURA_PR,207840.33,126,21803773.04,20317295.55,2022
JARU_RO,1019586.47,339,30492433.65,124449610.52,2022
JOACABA_SC,363674.71,272,36571140.019999996,117567959.9,2022
LAGOA SECA_PB,394491.08,336,20886725.639999997,2824091.59,2022
LAGOAO_RS,114698.53,107,22337528.759999998,25321939.89,2022
LIBERDADE_MG,131895.62,123,20515689.58,63565.19,2022
LIMEIRA_SP,3633238.39,1998,20966884.009999998,606098167.98,2022
MAFRA_SC,976459.23,476,23969919.15,38068698.6,2022
MANGARATIBA_RJ,1490223.23,786,20976624.369999997,1626121.57,2022
MANTENA_MG,568759.5,320,23422351.39,28321695.21,2022
MARABA_PA,2743912.83,1186,43241362.29,689586573.08,2022
MARACAJU_MS,1497587.93,380,27628592.709999997,85496866.19000001,2022
MARILIA_SP,4790153.82,2528,21294776.79,9305783.9,2022
MARINGA_PR,8744646.19,3949,22587797.97,582609561.44,2022
MATO GROSSO_MT,12550428.84,30104,42314344.95999999,112064253.64,2022
MATO GROSSO DO SUL_MS,12003750.91,28808,29710810.909999996,129270582.53,2022
MEDIANEIRA_PR,545919.15,364,24541945.75,67602714.99,2022
MILAGRES_CE,519734.9,50,23697109.86,29210886.6,2022
MINACU_GO,1030688.82,406,21536420.54,10070254.81,2022
MIRA ESTRELA_SP,77201.74,63,22377477.24,23726868.49,2022
MONTE ALEGRE DE MINAS_MG,466042.99,313,21392795.139999997,9243185.74,2022
MORENO_PE,690277.29,695,20805875.9,2169138.79,2022
MORRO AGUDO_SP,486141.32,423,21154980.279999997,35086463.55,2022
NOVA ESPERANCA DO SUL_RS,83796.45,29,22840609.47,23801466.1,2022
NOVO HORIZONTE DO OESTE_RO,401813.77,55,22411425.009999998,21457991.2,2022
OLIVEIRA_MG,926198.21,521,28554550.119999997,63958445.49,2022
OSORIO_RS,23702.36,610,36113727.14,158824478.72,2022
PALMEIRA D'OESTE_SP,136563.91,186,20602831.209999997,1335819.03,2022
PARAIBUNA_SP,798110.17,300,20661241.88,80033346.46000001,2022
PARAIPABA_CE,1037296.56,141,24554368.64,42519817.46,2022
PARISI_SP,221667.66,65,22231479.75,21453770.81,2022
PAROBE_RS,358569.39,522,28124382.27,82914313.18,2022
PATOS_PB,794867.72,741,20625735.709999997,14348468.63,2022
PATY DO ALFERES_RJ,805901.62,368,28482736.56,130137050.56,2022
PIAUI_PI,16354313.51,35397,28690588.43,76740828.17,2022
PICOS_PI,837148.62,352,30237013.58,95008294.4,2022
PIRACAIA_SP,721639.86,213,26578828.939999998,117936789.85,2022
POSSE_GO,496973.05,367,21867196.639999997,14120267.96,2022
QUEIMADOS_RJ,2013845.6,561,31744538.79,86296981.82000001,2022
RIACHINHO_MG,105132.32,63,22893915.7,16464038.84,2022
RIBEIRAO PIRES_SP,2073434.45,758,19156156.31,129089883.66,2022
RIO BRILHANTE_MS,1158794.16,252,31528551.93,156917300.66,2022
RIO NEGRINHO_SC,1011717.62,368,35066002.25,143291066.15,2022
SAGRADA FAMILIA_RS,89348.08,21,22274772.259999998,18239660.67,2022
SANTA FE DO SUL_SP,773626.03,482,31795925.4,108864969.79,2022
SANTA MARIA DE JETIBA_ES,498187.63,249,27376201.56,79576675.97,2022
SANTANA DO CARIRI_CE,323533.67,142,21729144.32,23418577.36,2022
SANTO ANDRE_SP,11508477.85,6011,47124297.989999995,823309393.26,2022
SANTO ANTONIO DA PATRULHA_RS,106004.86,480,33868122.21,150054352.95,2022
SAO FRANCISCO DE ASSIS_RS,166668.29,307,24432260.06,35693778.43,2022
SAO JOAO DA LAGOA_MG,181466.8,15,21907923.29,10230678.97,2022
SAO MANUEL_SP,957062.99,449,21102223.299999997,116927367.23,2022
SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN,266583.75,52,21000661.13,8825764.8,2022
SOLONOPOLE_CE,350195.42,141,23546092.52,24160235.88,2022
SUME_PB,400859.63,235,21189269.299999997,6416934.64,2022
TAIO_SC,500070.03,200,24030718.229999997,51136583.65000001,2022
TAUA_CE,674993.38,650,22093983.4,12530159.25,2022
TAUBATE_SP,4149775.97,2973,36133835.42,223830564.88,2022
TRAJANO DE MORAES_RJ,712569.95,466,21782053.57,13884269.8,2022
TRES MARIAS_MG,741152.52,412,28100118.31,77491795.21000001,2022
TUPANCIRETA_RS,141261.87,174,28436085.68,82019815.39,2022
TURMALINA_MG,298651.63,151,23794441.11,31743722.11,2022
VARJAO DE MINAS_MG,88555.44,59,21676290.77,13247398.06,2022
VARRE-SAI_RJ,400295.59,305,26053813.529999997,63373851.97,2022
VIANA_ES,806570.59,817,32514175.24,79672487.69,2022
VICOSA_MG,1574223.86,731,26080932.349999998,71109820.03,2022
ALTO PARAISO DE GOIAS_GO,219569.81,123,20940375.65,3197629.03,2023
AMAPORA_PR,162289.06,58,24401495.15,19063749.26,2023
ANDIRA_PR,593907.45,420,28703619.56,58407521.31,2023
AQUIDAUANA_MS,593606.11,406,30021837.919999998,49379176.4,2023
ARMACAO DOS BUZIOS_RJ,1280429.89,164,40313769.36,174569975.12,2023
ASSIS_SP,1448863.33,104,24273316.88,291759540.92,2023
ATALAIA_AL,1094656.73,728,20591352.099999998,16812379.16,2023
BARRO ALTO_GO,476571.51,214,23483591.11,20760033.58,2023
BEBERIBE_CE,1691303.46,415,21641997.229999997,68568503.2,2023
BOA VISTA_RR,2760135.68,744,164502621.58,986207455.29,2023
BOM DESPACHO_MG,661389.06,540,25535822.909999996,37252608.53,2023
CAAPORA_PB,1063820.09,458,20637929.939999998,59254.69,2023
CAARAPO_MS,611975.34,206,30203579.97,60712700.95,2023
CACADOR_SC,1762383.48,657,43723795.849999994,157646466.67,2023
CACHOEIRINHA_PE,322619.08,158,24374517.45,28450576.46,2023
CAMACARI_BA,6105915.9,2236,75005646.11,405626934.57,2023
CANTAGALO_RJ,884142.35,746,24833850.81,24077639.35,2023
CARDOSO MOREIRA_RJ,333070.46,290,37457814.76,119136709.0,2023
CARIRIACU_CE,792357.96,135,27461079.459999997,41399333.16,2023
CERES_GO,424909.65,196,22755401.439999998,16472535.36,2023
CERQUEIRA CESAR_SP,557745.5,254,29678693.64,63080883.86,2023
CHOPINZINHO_PR,275880.4,94,27825221.97,36382506.63,2023
CONCEICAO DE MACABU_RJ,688969.56,438,30995531.759999998,68590466.12,2023
CRATO_CE,1313196.09,677,29437885.479999997,94499727.35,2023
CRUZEIRO DO OESTE_PR,129920.58,277,22622213.299999997,13745012.37,2023
CURITIBANOS_SC,468680.32,497,28617187.57,59850742.61,2023
DEMERVAL LOBAO_PI,184810.09,40,22387448.049999997,12326284.9,2023
DOMINGOS MARTINS_ES,524520.78,277,34715854.18,83027077.53,2023
DUAS BARRAS_RJ,418185.54,284,27507669.689999998,47189199.91,2023
ENTRE-IJUIS_RS,248424.85,179,25710336.759999998,41274665.37,2023
ESCADA_PE,1201467.49,880,20729022.279999997,3182676.05,2023
ESPERA FELIZ_MG,571979.2,242,23148832.669999998,16598976.82,2023
ESPERANTINA_PI,1426422.95,267,23237601.97,31515513.57,2023
ESPIGAO DO OESTE_RO,987137.61,141,32661656.15,85862870.4,2023
EUSEBIO_CE,2182718.56,304,47543597.84,201514199.05,2023
FERNANDOPOLIS_SP,2174415.09,609,40593878.84,153604310.87,2023
FLORIANOPOLIS_SC,4767756.94,4047,20807718.919999998,15432352.11,2023
FORMOSA_GO,772468.31,140,21465029.939999998,14209464.4,2023
FOZ DO IGUACU_PR,5168510.57,3096,93046750.09,484109746.77,2023
GOIANIRA_GO,673764.31,240,30010793.419999998,69794427.44,2023
GOIAS_GO,56720750.89,60939,63792982.78,442677239.39,2023
GONCALVES_MG,218514.66,40,21294690.939999998,4967003.59,2023
HOLAMBRA_SP,561913.68,176,31836498.799999997,89807302.85,2023
IGUATAMA_MG,173204.62,158,20655722.06,1264629.22,2023
IRAUCUBA_CE,699586.85,89,27903441.279999997,51605602.06,2023
ITACURUBA_PE,169766.05,54,23330620.15,20395693.84,2023
ITAPIPOCA_CE,1761957.43,501,31250344.39,168014663.7,2023
IVOTI_RS,12805.74,145,35846960.67,110250308.92,2023
JALES_SP,595821.77,639,24444339.779999997,55928023.09,2023
JANUARIA_MG,1528983.1,332,31273007.849999998,67993468.95,2023
JAPURA_PR,225598.72,130,22779809.09,21500284.49,2023
JARU_RO,1105371.48,362,40935099.94,142401535.57,2023
JOACABA_SC,430595.28,272,30209772.979999997,131785971.94,2023
LAGOA SECA_PB,469187.37,333,20955877.63,4642369.77,2023
LAGOAO_RS,103502.13,107,24359252.24,27180807.21,2023
LIBERDADE_MG,130330.99,126,20513024.91,37650.46,2023
LIMEIRA_SP,3937099.91,2216,21417831.049999997,676493431.84,2023
MAFRA_SC,1218900.76,498,26666570.89,44516093.26,2023
MANGARATIBA_RJ,1265203.61,827,21056705.939999998,3410605.46,2023
MANTENA_MG,656345.9,337,24321772.22,31865058.21,2023
MARABA_PA,3663605.16,1301,131814225.16999999,768553697.88,2023
MARACAJU_MS,1766489.2,390,34283162.91,101167757.37,2023
MARILIA_SP,5143610.32,2587,23241285.99,18021050.92,2023
MARINGA_PR,13122097.45,4191,110952916.05000001,677012023.49,2023
MATO GROSSO_MT,19100376.43,27112,41397719.07,397278150.8,2023
MATO GROSSO DO SUL_MS,31884593.99,27923,24928603.31,79259857.09,2023
MEDIANEIRA_PR,610418.51,520,31811455.78,82663172.41,2023
MILAGRES_CE,591045.6,56,26433202.869999997,41138350.05,2023
MINACU_GO,1006184.35,436,22363809.509999998,13645380.0,2023
MIRA ESTRELA_SP,82115.34,74,24412964.89,27749402.56,2023
MONTE ALEGRE DE MINAS_MG,548325.37,336,21613032.849999998,9755348.76,2023
MORENO_PE,744726.82,711,21003356.36,3650573.35,2023
MORRO AGUDO_SP,560359.71,485,24866025.7,39194418.59,2023
NOVA ESPERANCA DO SUL_RS,137604.56,36,24135871.59,27013500.03,2023
NOVO HORIZONTE DO OESTE_RO,320471.4,59,24565775.549999997,26280140.91,2023
OLIVEIRA_MG,1087084.17,510,32783011.24,76181534.7,2023
OSORIO_RS,25467.38,619,46811293.14,192442074.85,2023
PALMEIRA D'OESTE_SP,103248.96,190,20820655.669999998,708710.98,2023
PARAIBUNA_SP,749819.36,325,21213128.669999998,85684315.85,2023
PARAIPABA_CE,924923.52,191,27816667.36,51147886.46,2023
PARISI_SP,226931.22,75,23833378.119999997,23679033.94,2023
PAROBE_RS,347706.61,651,32888673.729999997,94601858.51,2023
PATOS_PB,835266.4,767,22594915.369999997,21063032.71,2023
PATY DO ALFERES_RJ,938667.98,385,39884399.44,137334200.67,2023
PIAUI_PI,21998364.0,39768,37593959.08,102040247.27,2023
PICOS_PI,917088.16,385,36004258.839999996,116840356.41,2023
PIRACAIA_SP,796962.23,242,29158890.939999998,127151374.7,2023
POSSE_GO,490329.54,396,22730158.47,15248882.91,2023
QUEIMADOS_RJ,2607136.26,529,41579487.129999995,116772245.95,2023
RIACHINHO_MG,113763.51,74,23384285.409999996,18583075.39,2023
RIBEIRAO PIRES_SP,315280.19,814,22701292.349999998,139440277.75,2023
RIO BRILHANTE_MS,1075760.83,277,45464171.2,173844695.02,2023
RIO NEGRINHO_SC,1187719.52,401,39194051.66,164258386.98,2023
SAGRADA FAMILIA_RS,107982.23,27,23296895.409999996,20970834.51,2023
SANTA FE DO SUL_SP,956181.24,497,38482346.72,126918822.91,2023
SANTA MARIA DE JETIBA_ES,950059.15,252,32149883.009999998,88347350.25,2023
SANTANA DO CARIRI_CE,369839.57,160,24401823.27,30917982.64,2023
SANTO ANDRE_SP,12134650.95,6049,129439179.96000001,815301243.37,2023
SANTO ANTONIO DA PATRULHA_RS,136923.42,513,42988474.099999994,170807498.79,2023
SAO FRANCISCO DE ASSIS_RS,197040.8,318,25276073.34,38590709.2,2023
SAO JOAO DA LAGOA_MG,221780.94,16,22086915.75,11522325.11,2023
SAO MANUEL_SP,1032536.1,479,37926446.2,121321668.2,2023
SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN,280472.79,52,22277913.83,11656719.1,2023
SOLONOPOLE_CE,255843.34,161,23636335.39,33642620.84,2023
SUME_PB,517471.86,197,21670197.7,8203709.88,2023
TAIO_SC,579650.29,205,26770588.82,56352773.53,2023
TAUA_CE,799648.82,566,22379567.169999998,17061569.59,2023
TAUBATE_SP,4710820.71,3097,46264074.92,206895549.3,2023
TRAJANO DE MORAES_RJ,350607.35,490,22792563.669999998,18571136.44,2023
TRES MARIAS_MG,923135.81,435,35682495.2,84205880.63,2023
TUPANCIRETA_RS,310175.47,280,33880235.39,95496034.47,2023
TURMALINA_MG,323714.8,173,25297450.619999997,36518348.58,2023
VARJAO DE MINAS_MG,131551.75,62,22643887.57,14971798.97,2023
VARRE-SAI_RJ,440180.96,107,31434409.97,66349410.84,2023
VIANA_ES,806964.04,850,38935263.42,96006641.48,2023
VICOSA_MG,2348802.35,748,34509903.72,84366912.94,2023
ALTO PARAISO DE GOIAS_GO,240667.8,129,20602194.119999997,3623166.49,2024
AMAPORA_PR,151553.55,56,22749848.06,21957761.53,2024
ANDIRA_PR,722469.31,447,23042402.049999997,68375010.24,2024
AQUIDAUANA_MS,809212.5,412,21389790.68,48542452.36,2024
ARMACAO DOS BUZIOS_RJ,1288271.94,187,39792300.79,230588968.97,2024
ASSIS_SP,1685726.01,130,25235421.64,341875238.78,2024
ATALAIA_AL,423601.4,739,20542317.32,741437.86,2024
BARRO ALTO_GO,502425.82,217,22243829.91,28947742.84,2024
BEBERIBE_CE,1656369.73,424,25873783.59,75584344.9,2024
BOA VISTA_RR,3933743.25,780,104485877.02000001,1197851278.09,2024
BOM DESPACHO_MG,682305.8,549,22194354.58,43856820.56,2024
CAAPORA_PB,1128540.71,472,20553835.689999998,1160458.56,2024
CAARAPO_MS,691315.81,214,23999509.099999998,73241831.78,2024
CACADOR_SC,2006036.57,688,39238924.7,181864876.6,2024
CACHOEIRINHA_PE,326990.99,170,23085670.099999998,34563529.81,2024
CAMACARI_BA,6994644.53,2295,78876177.62,470796561.21,2024
CANTAGALO_RJ,796040.56,764,23624719.09,30701797.41,2024
CARDOSO MOREIRA_RJ,330049.41,319,31825166.07,137508793.56,2024
CARIRIACU_CE,882647.8,182,25939909.189999998,56483710.99,2024
CERES_GO,509976.44,244,22503037.869999997,24163359.13,2024
CERQUEIRA CESAR_SP,578692.45,267,28758332.619999997,78339301.62,2024
CHOPINZINHO_PR,100324.25,105,26067569.11,51324084.83,2024
CONCEICAO DE MACABU_RJ,726261.07,463,25861232.5,81155834.01,2024
CRATO_CE,1587305.28,838,29823643.299999997,118381109.78,2024
CRUZEIRO DO OESTE_PR,81142.24,279,21359691.91,16058012.1,2024
CURITIBANOS_SC,433862.48,522,22026837.959999997,72878952.21,2024
DEMERVAL LOBAO_PI,176480.76,43,21837068.08,17980221.22,2024
DOMINGOS MARTINS_ES,478428.27,302,29503425.339999996,97015684.83,2024
DUAS BARRAS_RJ,488690.81,314,22577407.299999997,55692193.55,2024
ENTRE-IJUIS_RS,271402.8,193,24021764.799999997,44083961.71,2024
ESCADA_PE,712046.14,900,20847433.369999997,1492707.78,2024
ESPERA FELIZ_MG,360297.91,249,21630440.099999998,20687714.4,2024
ESPERANTINA_PI,153114.33,265,21979180.259999998,39495482.95,2024
ESPIGAO DO OESTE_RO,578123.28,147,26048934.759999998,101194973.56,2024
EUSEBIO_CE,2686611.66,319,39742610.78,238959742.55,2024
FERNANDOPOLIS_SP,2343519.99,623,33732811.91,189996485.72,2024
FLORIANOPOLIS_SC,4696038.83,3829,20613907.16,31055818.97,2024
FORMOSA_GO,974982.31,505,20452461.88,11394315.5,2024
FOZ DO IGUACU_PR,6056386.59,3258,38542301.16,542033716.92,2024
GOIANIRA_GO,822859.2,251,27695249.919999998,92033661.44,2024
GOIAS_GO,64566089.88,62029,93399888.35999998,799291833.9,2024
GONCALVES_MG,244757.7,48,21236475.119999997,7659956.72,2024
HOLAMBRA_SP,520189.89,32,27757377.409999996,101526196.01,2024
IGUATAMA_MG,200855.83,161,20587878.599999998,710155.34,2024
IRAUCUBA_CE,707129.02,89,26257016.27,64634249.05,2024
ITACURUBA_PE,207097.98,9,21673860.56,24310983.15,2024
ITAPIPOCA_CE,2032385.36,722,33431108.759999998,218559431.92,2024
IVOTI_RS,35791.4,165,30002216.86,133409925.53,2024
JALES_SP,1045574.69,651,24815288.549999997,65672044.5,2024
JANUARIA_MG,829051.05,377,29678199.089999996,90709779.91,2024
JAPURA_PR,373647.75,135,21725563.479999997,25188134.15,2024
JARU_RO,1158408.3,386,30550473.259999998,171464865.41,2024
JOACABA_SC,528589.12,289,29648813.669999998,154379065.98,2024
LAGOA SECA_PB,573294.39,370,20674227.24,2073877.91,2024
LAGOAO_RS,144742.51,122,22907059.32,31789622.91,2024
LIBERDADE_MG,125082.18,132,20511915.18,23798.78,2024
LIMEIRA_SP,3993476.41,2372,63186047.9,815877561.13,2024
MAFRA_SC,1433420.04,520,25982249.58,60049173.18,2024
MANGARATIBA_RJ,1371782.09,872,20933681.54,2994801.67,2024
MANTENA_MG,671546.53,356,23625252.2,35180628.12,2024
MARABA_PA,3189078.85,1390,66276550.24,969746901.3,2024
MARACAJU_MS,1990303.49,399,27208238.34,118723120.08,2024
MARILIA_SP,3281278.87,2642,21401408.08,19172288.02,2024
MARINGA_PR,14657144.65,4529,123484988.0,867894292.14,2024
MATO GROSSO_MT,36221000.35,30072,49463018.18,976128138.72,2024
MATO GROSSO DO SUL_MS,10702328.66,27756,33790115.92,435911176.18,2024
MEDIANEIRA_PR,718212.66,548,32678449.88,108595135.98,2024
MILAGRES_CE,794203.56,87,26219360.02,54713898.94,2024
MINACU_GO,1147191.81,445,22267769.06,17565718.53,2024
MIRA ESTRELA_SP,93027.5,80,22615533.81,32968084.93,2024
MONTE ALEGRE DE MINAS_MG,610665.5,360,21262508.439999998,9718149.1,2024
MORENO_PE,795126.42,709,20741243.049999997,3910989.82,2024
MORRO AGUDO_SP,470072.21,456,23464297.18,49684406.41,2024
NOVA ESPERANCA DO SUL_RS,143289.43,38,23218192.77,31497096.43,2024
NOVO HORIZONTE DO OESTE_RO,341156.38,60,23175997.45,32540761.73,2024
OLIVEIRA_MG,1286510.01,564,29490803.339999996,97392400.13,2024
OSORIO_RS,32995.97,620,41285364.95,225169192.16,2024
PALMEIRA D'OESTE_SP,68910.87,177,20563630.439999998,893844.6,2024
PARAIBUNA_SP,631892.26,343,31270976.269999996,102340552.84,2024
PARAIPABA_CE,677817.32,197,23322885.4,62123374.05,2024
PARISI_SP,311790.8,83,22571942.33,27000367.04,2024
PAROBE_RS,365456.33,660,37667270.94,110296659.38,2024
PATOS_PB,1198468.22,728,22487883.08,31315328.46,2024
PATY DO ALFERES_RJ,912641.32,410,32917330.939999998,156677114.25,2024
PIAUI_PI,37822444.52,38328,39085327.379999995,125415502.87,2024
PICOS_PI,1076325.55,396,28233300.409999996,139976857.99,2024
PIRACAIA_SP,908542.4,270,33791888.32,149404184.77,2024
POSSE_GO,558102.86,428,21477116.619999997,20737344.96,2024
QUEIMADOS_RJ,917861.16,684,34728806.45,145600126.79,2024
RIACHINHO_MG,120500.19,84,22202750.61,20824737.67,2024
RIBEIRAO PIRES_SP,1934653.96,915,30360604.769999996,164669083.38,2024
RIO BRILHANTE_MS,1557600.11,312,29410043.689999998,201972155.87,2024
RIO NEGRINHO_SC,1188234.47,445,39125129.95999999,185970965.59,2024
SAGRADA FAMILIA_RS,111018.83,31,22310550.86,24532323.81,2024
SANTA FE DO SUL_SP,1037106.31,505,34845321.54,150381681.54,2024
SANTA MARIA DE JETIBA_ES,1083654.78,258,26292663.47,106514804.59,2024
SANTANA DO CARIRI_CE,419273.81,157,23631439.56,34636184.72,2024
SANTO ANDRE_SP,12659844.09,6152,176811859.33,877437224.95,2024
SANTO ANTONIO DA PATRULHA_RS,218990.11,534,35688032.55,197006283.71,2024
SAO FRANCISCO DE ASSIS_RS,185399.48,326,24020409.63,41866694.98,2024
SAO JOAO DA LAGOA_MG,258749.07,22,21630394.27,13888407.79,2024
SAO MANUEL_SP,1155972.13,506,29546823.13,139811027.02,2024
SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN,345692.55,54,21781337.07,16139481.57,2024
SOLONOPOLE_CE,409802.6,176,24010016.979999997,44256989.72,2024
SUME_PB,151991.95,243,20648287.29,11058170.88,2024
TAIO_SC,753864.1,216,26142340.919999998,65446837.51,2024
TAUA_CE,867166.26,704,21719538.049999997,15416882.18,2024
TAUBATE_SP,5105639.06,3048,35358441.36,186655446.37,2024
TRAJANO DE MORAES_RJ,1077304.04,518,21480801.09,17352620.23,2024
TRES MARIAS_MG,1235197.03,460,30885815.979999997,97931400.72,2024
TUPANCIRETA_RS,571677.0,275,27960544.279999997,112841565.1,2024
TURMALINA_MG,245853.97,184,23296117.31,41487494.24,2024
VARJAO DE MINAS_MG,117941.8,73,21533196.049999997,17280133.55,2024
VARRE-SAI_RJ,443480.3,293,26393626.65,77403138.77,2024
VIANA_ES,921863.82,858,32145871.759999998,119813945.13,2024
VICOSA_MG,2167787.94,728,24926393.64,107252099.25,2024
